teks1,teks2,similarity
tua,baru,0.4465536919349473
pintar,cerdas,0.825425131019125
keras,sulit,0.4903104028855496
bahagia,ceria,0.6264335704487018
keras,mudah,0.5182832025474773
cepat,cepat,0.9999999999999999
bahagia,senang,0.7429599417208921
pendek,panjang,0.6450882047664986
bodoh,bodoh,1.0
aneh,aneh,0.9999999999999998
luas,sempit,0.6233123918648102
buruk,mengerikan,0.7498501718647301
mudah,sulit,0.8857957827594101
buruk,mengerikan,0.7498501718647301
keras,sederhana,0.49273386485645726
cerdas,bodoh,0.6359411650221525
gila,gila,1.0000000000000002
bahagia,gila,0.530333332834604
besar,besar,1.0000000000000002
keras,sulit,0.4903104028855496
Baru,segar,0.01265833408599911
tajam,membosankan,0.48635854780983956
cepat,cepat,0.9999999999999999
bodoh,bodoh,1.0
luarbiasa,Hebat,0.11814421148332538
aneh,aneh,0.9999999999999998
bahagia,marah,0.5433206232865098
sempit,luas,0.6233123918648102
sederhana,mudah,0.6696524520749831
tua,segar,0.26752614137002156
jelas,jelas,1.0
murah,murah,1.0
bagus,baik,0.6651685790029207
aneh,normal,0.4655619081630463
aneh,aneh,0.9999999999999998
buruk,jelek,0.7045354355844837
sedih,lucu,0.6277243275366923
luarbiasa,Hebat,0.11814421148332538
bersalah,malu,0.6652207567909384
cantik,indah,0.6164670110042465
yakin,yakin,0.9999999999999998
bodoh,padat,0.15749663529112048
besar,besar,1.0000000000000002
bagus,kejam,0.22301889745307868
sabar,cemas,0.7359614768502196
besar,luas,0.6541045860327779
kuat,bangga,0.5607696964734814
perlu,diperlukan,0.7679368066797008
gelisah,muda,0.42067041015005424
bodoh,cerdas,0.6359411650221525
buruk,besar,0.528821460298392
sulit,sederhana,0.6153097858806975
diperlukan,penting,0.5466645525880613
buruk,Hebat,0.10932294375329715
gila,senang,0.663543261248702
jujur,bersalah,0.5023833761039833
mudah,sulit,0.8857957827594101
mudah,fleksibel,0.6789397156444876
pasti,yakin,0.6164799336213558
penting,diperlukan,0.5466645525880613
berbeda,normal,0.5219224603914877
