teks1,teks2,similarity
tua,baru,0.2330820477988167
pintar,cerdas,0.7686785626139239
keras,sulit,0.44324798787252834
bahagia,ceria,0.5347014361497848
keras,mudah,0.4537266267490674
cepat,cepat,1.0
bahagia,senang,0.6074136502775589
pendek,panjang,0.5168301721507816
bodoh,bodoh,0.9999999999999998
aneh,aneh,0.9999999999999999
luas,sempit,0.545315107586458
buruk,mengerikan,0.5886828102210329
mudah,sulit,0.7980158380849627
buruk,mengerikan,0.5886828102210329
keras,sederhana,0.37985043883784586
cerdas,bodoh,0.5393579738972447
gila,gila,0.9999999999999998
bahagia,gila,0.4082067355840524
besar,besar,1.0
keras,sulit,0.44324798787252834
Baru,segar,0.021937046108189334
tajam,membosankan,0.3555821268361571
cepat,cepat,1.0
bodoh,bodoh,0.9999999999999998
luarbiasa,Hebat,0.2893481807858157
aneh,aneh,0.9999999999999999
bahagia,marah,0.43623895830683984
sempit,luas,0.545315107586458
sederhana,mudah,0.5681795007414255
tua,segar,0.19799275378783532
jelas,jelas,1.0000000000000002
murah,murah,1.0
bagus,baik,0.5614015301971181
aneh,normal,0.3362182098544891
aneh,aneh,0.9999999999999999
buruk,jelek,0.6305900993288273
sedih,lucu,0.4489673667658085
luarbiasa,Hebat,0.2893481807858157
bersalah,malu,0.5409311282848521
cantik,indah,0.572589576711664
yakin,yakin,1.0
bodoh,padat,0.05800819190003044
besar,besar,1.0
bagus,kejam,0.18808507966136417
sabar,cemas,0.549500403694249
besar,luas,0.4480199605524002
kuat,bangga,0.450110472577491
perlu,diperlukan,0.698384395432819
gelisah,muda,0.29601307101206376
bodoh,cerdas,0.5393579738972447
buruk,besar,0.35919760814812696
sulit,sederhana,0.5004785661486779
diperlukan,penting,0.4406697103426094
buruk,Hebat,0.08959025407841537
gila,senang,0.5146036989084102
jujur,bersalah,0.35407644960258705
mudah,sulit,0.7980158380849627
mudah,fleksibel,0.5822483396089821
pasti,yakin,0.4895933761743365
penting,diperlukan,0.4406697103426094
berbeda,normal,0.3953694159912472
licik,pintar,0.4658058856822017
penting,penting,1.0000000000000002
keras,kejam,0.4831295008794909
bodoh,bodoh,0.9999999999999998
langka,langka,1.0
ramah,baik,0.4775813391838637
rapuh,dingin,0.38540739110358374
panjang,sempit,0.4496736479387186
besar,berat,0.4025022918063203
kasar,dingin,0.2998754017498949
aneh,aneh,0.9999999999999999
ilegal,buruk,0.22081818817189572
buruk,bersalah,0.34152922655917217
modern,kuno,0.6828119352199995
Baru,kuno,0.1873591191369648
kusam,lucu,0.19777926035518062
bahagia,muda,0.3487960633780725
mudah,besar,0.3341605701398643
besar,mengerikan,0.2330547774066446
kecil,besar,0.6940386242758181
sopan,tepat,0.16692800843448638
sederhana,malu,0.16832288519229022
eksotis,langka,0.6077634720934425
bodoh,pintar,0.5220561671860473
Menyenangkan,indah,0.17447146754608714
nyata,jelas,0.4644513950634049
takut,gelisah,0.7290533343708787
formal,tepat,0.2029903351733401
suram,membosankan,0.49988489376080325
Menyenangkan,ceria,0.2565160271322614
stres,gila,0.32737674030191255
sedih,mengerikan,0.552634035706816
sakit,gila,0.28504870488829315
kekerasan,marah,0.3374389227289583
syarat,aturan,0.5068153481385345
kotor,murah,0.21367404021657604
elastis,fleksibel,0.5703459658261004
keras,padat,0.32144755430232436
Baru,baru,0.22801745109713328
berani,bangga,0.601325568726202
licik,aneh,0.4496820957908754
aneh,licik,0.4496820957908754
bodoh,langka,0.13172869632507384
licik,sulit,0.27229603908643296
Hebat,gila,0.21070965526591745
sederhana,fleksibel,0.5649100349676073
segar,berbagai,0.250286470939252
besar,bodoh,0.078860072128254
besar,fleksibel,0.3192331798266645
kotor,sempit,0.12498719520589519
istri,suami,0.8489163293899507
buku,teks,0.4826006764629323
pria,mempelai,0.4739186354796996
malam,hari,0.7586710503647509
Selatan,Utara,0.8299727710002507
pesawat,Bandara,0.4167436929990641
Paman,bibi,0.5153120783667513
kuda,mare,0.07459191482126326
bawah,atas,0.6472404704919323
teman,teman,1.0
mahasiswa,murid,0.3888805675402262
dunia,dunia,1.0
kaki,lengan,0.39683296406799007
pesawat,jet,0.7376086446509882
wanita,pria,0.9076884811352164
kuda,poni,0.4390283648080992
aktris,aktor,0.8207676734150576
guru,instruktur,0.5497249929238478
film,film,0.9999999999999998
burung,elang,0.7208763100164851
kata,Kamus,0.39778567420724337
uang,gaji,0.4845350473296436
anjing,kucing,0.7235841947328101
Area,wilayah,0.2568798563376471
Laut,Darat,0.5987003846991386
buku,sastra,0.5001092086239225
pakaian,lemari,0.44019338228800076
terbenam,terbit,0.5387156788430731
Anak,dewasa,0.27979875784439484
sapi,sapi,1.0
buku,cerita,0.45609760829298784
dingin,panas,0.8627610221078963
taksi,taksi,1.0
pohon,pohon,0.9999999999999999
tempat,Kamar,0.1753529095391616
atap,genteng,0.6098200945212989
penyakit,infeksi,0.7167157660166548
lengan,bahu,0.7634731625182294
domba,domba,0.9999999999999999
wanita,pria,0.9076884811352164
Boat,jangkar,0.2417388830994201
