teks1,teks2,similarity
tua,baru,0.25180582900513127
pintar,cerdas,0.7217610421784377
keras,sulit,0.3426888178984985
bahagia,ceria,0.49186965635374524
keras,mudah,0.34159142359881395
cepat,cepat,1.0
bahagia,senang,0.5591343800527238
pendek,panjang,0.4675149619515665
bodoh,bodoh,0.9999999999999998
aneh,aneh,1.0
luas,sempit,0.48539062047673587
buruk,mengerikan,0.5519775605203544
mudah,sulit,0.7400617915927102
buruk,mengerikan,0.5519775605203544
keras,sederhana,0.29500743562620707
cerdas,bodoh,0.47973965517362827
gila,gila,1.0
bahagia,gila,0.39389850320300196
besar,besar,1.0000000000000004
keras,sulit,0.3426888178984985
Baru,segar,0.02107802381968492
tajam,membosankan,0.3105493559352396
cepat,cepat,1.0
bodoh,bodoh,0.9999999999999998
luarbiasa,Hebat,0.16957001422713505
aneh,aneh,1.0
bahagia,marah,0.4020735301857587
sempit,luas,0.48539062047673587
sederhana,mudah,0.5006815578121216
tua,segar,0.16992947805144368
jelas,jelas,0.9999999999999998
murah,murah,1.0
bagus,baik,0.5757830579432097
aneh,normal,0.35902869727764186
aneh,aneh,1.0
buruk,jelek,0.588623411714203
sedih,lucu,0.4724538671303194
luarbiasa,Hebat,0.16957001422713505
bersalah,malu,0.5375471328122103
cantik,indah,0.5455503224856103
yakin,yakin,1.0000000000000002
bodoh,padat,0.06925966220916403
besar,besar,1.0000000000000004
bagus,kejam,0.189926544677414
sabar,cemas,0.5693011273295228
besar,luas,0.41155104739293413
kuat,bangga,0.38433468835517337
perlu,diperlukan,0.6279718274150413
gelisah,muda,0.24058006271969212
bodoh,cerdas,0.47973965517362827
buruk,besar,0.3270990390383851
sulit,sederhana,0.4487535306760023
diperlukan,penting,0.413881843777936
buruk,Hebat,0.04333941458974826
gila,senang,0.44176303662040406
jujur,bersalah,0.3566355005058251
mudah,sulit,0.7400617915927102
mudah,fleksibel,0.5002424287969218
pasti,yakin,0.4440724367968553
penting,diperlukan,0.413881843777936
berbeda,normal,0.4029921164957044
licik,pintar,0.44400428043101603
penting,penting,1.0000000000000002
keras,kejam,0.390303072300099
bodoh,bodoh,0.9999999999999998
langka,langka,1.0
ramah,baik,0.4302658978755338
rapuh,dingin,0.372282487781055
panjang,sempit,0.39696742230814525
besar,berat,0.3502158147762324
kasar,dingin,0.31904940332591336
aneh,aneh,1.0
ilegal,buruk,0.25145193563738744
buruk,bersalah,0.2973764677291422
modern,kuno,0.6651707344347761
Baru,kuno,0.18445688242061284
kusam,lucu,0.2200556407590965
bahagia,muda,0.2754930579568222
mudah,besar,0.3118265965505873
besar,mengerikan,0.2779154590243325
kecil,besar,0.6733424223099744
sopan,tepat,0.2258221071722229
sederhana,malu,0.14204801741735357
eksotis,langka,0.5867483187517373
bodoh,pintar,0.4792799476809879
Menyenangkan,indah,0.12887597683588803
nyata,jelas,0.4130889644817258
takut,gelisah,0.6647702024143363
formal,tepat,0.1887094054996138
suram,membosankan,0.505708463570764
Menyenangkan,ceria,0.17798931793606926
stres,gila,0.3147278635624131
sedih,mengerikan,0.5427330402171175
sakit,gila,0.20540354103902767
kekerasan,marah,0.2800847820864392
syarat,aturan,0.4879790900529489
kotor,murah,0.21616802076181063
elastis,fleksibel,0.5576686466891889
keras,padat,0.2599330936943718
Baru,baru,0.27182277151244727
berani,bangga,0.5019283941271335
licik,aneh,0.42737154745949524
aneh,licik,0.42737154745949524
bodoh,langka,0.1938875210015622
licik,sulit,0.257109082915732
Hebat,gila,0.12361710190968403
sederhana,fleksibel,0.5294325518825385
segar,berbagai,0.21374397014481514
besar,bodoh,0.10866394062968093
besar,fleksibel,0.2934756860231875
kotor,sempit,0.17252750515984933
istri,suami,0.7789128767418445
buku,teks,0.5034373774472128
pria,mempelai,0.455531238500649
malam,hari,0.6662481485177048
Selatan,Utara,0.8067915114013168
pesawat,Bandara,0.37206399111251265
Paman,bibi,0.478202086757063
kuda,mare,0.054809750683605565
bawah,atas,0.5608426865179038
teman,teman,0.9999999999999999
mahasiswa,murid,0.40940869953431847
dunia,dunia,0.9999999999999998
kaki,lengan,0.3722180967705163
pesawat,jet,0.6735636733865937
wanita,pria,0.856918646964709
kuda,poni,0.49649505898956037
aktris,aktor,0.811903628324155
guru,instruktur,0.5049729832393133
film,film,1.0000000000000002
burung,elang,0.668010939737518
kata,Kamus,0.3620477673548944
uang,gaji,0.4439635901125154
anjing,kucing,0.7001359549888723
Area,wilayah,0.24359219896256948
Laut,Darat,0.5616775120693986
buku,sastra,0.4636837535213849
pakaian,lemari,0.3865570867085389
terbenam,terbit,0.5106509651178324
Anak,dewasa,0.2675994363983095
sapi,sapi,1.0
buku,cerita,0.4531958077044106
dingin,panas,0.8285011872782947
taksi,taksi,1.0
pohon,pohon,0.9999999999999999
tempat,Kamar,0.152912394762389
atap,genteng,0.5785192602389815
penyakit,infeksi,0.6985834891865262
lengan,bahu,0.7330883417980267
domba,domba,1.0
wanita,pria,0.856918646964709
Boat,jangkar,0.16829841521695707
imam,biarawan,0.5501864364108129
