teks1,teks2,similarity
cinta,seks,0.5072723026134692
Harimau,kucing,0.4066646373130124
harimau,harimau,1.0
buku,kertas,0.45427732315009706
komputer,monitor,0.6206595019322538
komputer,internet,0.6797642019514833
pesawat,mobil,0.6237082954459601
Kereta,mobil,0.3645037003296837
telepon,komunikasi,0.6098413826771867
televisi,radio,0.6890056509906639
media,radio,0.5941833700243138
obat,penyalahgunaan,0.4835668672248165
roti,mentega,0.8095183581465106
mentimun,kentang,0.8394730357814171
dokter,perawat,0.8401220191298281
Profesor,dokter,0.5111204409330345
mahasiswa,Profesor,0.2906684467257287
Pintar,mahasiswa,0.0773402419137916
Pintar,bodoh,0.09987951623926347
perusahaan,saham,0.7182685644640527
Persediaan,pasar,0.18483559574329475
persediaan,telepon,0.19178812699154787
persediaan,CD,-0.0416471524936
persediaan,jaguar,-0.13959691217512965
persediaan,telur,0.3352197139600559
kesuburan,telur,0.23444602549195206
saham,langsung,0.21807302442190368
saham,kehidupan,0.030407250917222472
buku,Perpustakaan,0.38356954441403845
Bank,uang,0.3311524914876798
kayu,hutan,0.5010531825286565
uang,tunai,0.6573112251377871
Profesor,mentimun,-0.15618347482031053
Raja,kubis,-0.06773164567163513
Raja,Ratu,0.7318909673574897
Raja,benteng,0.43353763337235
Uskup,rabbi,0.28096003099581446
Jerusalem,Israel,0.602785114574047
Yerusalem,Palestina,0.7069933879285963
Kudus,seks,-0.08752777536959858
bercinta,seks,0.3655052796029238
Inter,sepakbola,0.38924210216966015
sepakbola,sepakbola,1.0
sepakbola,basket,0.6744878847554074
sepakbola,tenis,0.5194566145703987
Tenis,Raket,0.6153505643466979
Arafat,perdamaian,0.43933424134065635
Arafat,teror,0.2684011384936074
Arafat,Jackson,0.15500552890848343
hukum,pengacara,0.5535013689367012
film,bintang,0.25588676879485917
film,drama,0.7725352145192723
film,kritikus,0.5764474574842962
film,theater,0.19678135273685093
Fisika,proton,0.25702718591733853
Fisika,Kimia,0.8128112764352942
Ruang,Kimia,0.16869033530334065
alkohol,Kimia,0.23626571745881048
vodka,gin,0.9217193355924492
vodka,brendi,0.8576766890590929
minuman,mobil,0.35210732789669763
minuman,telinga,0.14475056649699158
minuman,mulut,0.2638556945924614
minum,makan,0.7866619578256784
bayi,Ibu,0.3069216026902297
minuman,ibu,0.19920179446637917
Mobil,mobil,0.7463182956243846
permata,permata,1.0
perjalanan,pelayaran,0.7419036306863959
pria,ayah,0.5031309755757081
Pantai,pantai,0.7433487409527666
suaka,pengungsi,0.6984409464101387
penyihir,penyihir,0.9999999999999998
petang,siang,0.8084346130910304
tungku,kompor,0.8021212036438745
makanan,buah,0.45263658090971015
burung,ayam,0.5984923168332312
burung,bangau,0.7947853366892206
Alat,menerapkan,0.016874939498924282
saudara,biarawan,0.2207649740659216
pasang,menerapkan,0.03423683315702117
Pemuda,saudara,-0.03280374763046508
perjalanan,mobil,0.3317452606111887
biarawan,peramal,0.5158194669836027
Pemakaman,berhutan,0.19238568526044802
Makanan,ayam,0.46519348575041797
Pantai,Bukit,0.5162393824385636
hutan,kuburan,0.4662521980795907
Pantai,mangrove,0.44404471057196704
biarawan,budak,0.41851872694518927
Pantai,hutan,0.33860513166873696
Pemuda,Penyihir,0.06884822260107222
chord,senyum,0.17889083721998222
kaca,penyihir,0.1267229717547202
Siang,tali,0.06280268407803863
ayam,perjalanan,0.23469975304100563
uang,dolar,0.6963782095330422
uang,tunai,0.6573112251377871
uang,koin,0.751118490314652
uang,kekayaan,0.5494121027763437
uang,properti,0.4427164587503287
uang,kepemilikan,0.45112895776942497
uang,bank,0.6666231619283651
uang,deposit,0.3674848439190972
uang,penarikan,0.3635308288514969
uang,pencucian,0.55280108320327
uang,operasi,0.2279499036700712
Harimau,jaguar,0.45942778519186717
Harimau,kucing,0.4066646373130124
Harimau,karnivora,0.4219488095304038
Harimau,mamalia,0.41679469520197454
Harimau,hewan,0.33693736446424716
Harimau,organisme,0.08376780578291251
Harimau,fauna,0.28456824281962867
Harimau,safari,0.2813899989406192
Psikologi,psikiatri,0.7084839017511957
Psikologi,kecemasan,0.3104110047671868
Psikologi,ketakutan,0.013344775280890259
Psikologi,depresi,0.28727987022530344
Psikologi,klinik,0.3139260841128402
psikologi,dokter,0.47073165289297086
Psikologi,kebebasan,0.14628956600470264
Psikologi,pikiran,0.3409303177777235
Psikologi,Kesehatan,0.5293803744845997
Psikologi,ilmu,0.5001950525447949
Psikologi,disiplin,0.42589658184883006
Psikologi,kognisi,0.625934937361366
planet,bintang,0.42877331516133477
planet,rasi,0.12599083023990632
planet,bulan,0.11120769156693346
planet,matahari,0.6385174959736262
planet,galaxy,0.2822549377408233
planet,Ruang,-0.05950188397174788
planet,astronom,0.23795086645746027
preseden,contoh,0.5000840868142045
preseden,informasi,0.21296361227428673
preseden,kognisi,0.37409959705409535
preseden,hukum,0.7335038184969898
preseden,koleksi,-0.04504618704843984
preseden,kelompok,0.3107600608626073
preseden,Pendahuluan,0.3001141667164584
Piala,kopi,-0.0019510841876736323
Piala,pecah,0.09084096615795843
Piala,artikel,-0.1602647623984586
Piala,artefak,0.010292730777372278
Piala,objek,-0.17915112050060703
Piala,entitas,0.03344403754241708
Piala,minuman,-0.04695884623069861
Piala,makanan,-0.019001933238427075
Piala,substansi,-0.18931741274430713
Piala,cairan,-0.15335795712510913
Jaguar,kucing,0.20902667308828912
Jaguar,mobil,0.47414133105712936
energi,Sekretaris,-0.1517763512050826
Sekretaris,Senat,0.5314795188886055
energi,laboratorium,0.3372039716487018
komputer,laboratorium,0.5814495468765548
senjata,rahasia,0.5003040453175113
FBI,biometrik,0.3280810942118808
FBI,penyelidikan,0.6146672769652888
penyelidikan,usaha,0.42078242339526595
Mars,air,0.04302477016710396
Mars,ilmuwan,0.1609336407233276
Berita,laporan,0.4027148031026949
Canyon,lanskap,0.22998670465257787
gambar,permukaan,0.2790984930334051
penemuan,Ruang,-0.14915517897542607
rembesan,air,0.6962324551524779
tanda,reses,0.1556612596211117
Rabu,Berita,0.3935750437698683
mil,kilometer,0.8830327952936805
komputer,Berita,-0.00768660314517022
wilayah,permukaan,0.38574261818370914
