teks1,teks2,similarity
cinta,seks,0.450074851305729
Harimau,kucing,0.34176951646351833
harimau,harimau,1.0
buku,kertas,0.3997962727261411
komputer,monitor,0.6166670812148782
komputer,internet,0.6616912358180363
pesawat,mobil,0.5340604279990202
Kereta,mobil,0.33112049508873137
telepon,komunikasi,0.5654203098173047
televisi,radio,0.6120896079869909
media,radio,0.5672452586344952
obat,penyalahgunaan,0.4607187239079764
roti,mentega,0.8446533710933531
mentimun,kentang,0.7974474034314805
dokter,perawat,0.8108583147989858
Profesor,dokter,0.48597352313619635
mahasiswa,Profesor,0.2885009421335213
Pintar,mahasiswa,0.14607852922410056
Pintar,bodoh,0.1422992394833083
perusahaan,saham,0.7288564995098129
Persediaan,pasar,0.2681899243257212
persediaan,telepon,0.1945667643447253
persediaan,CD,-0.005515392813063378
persediaan,jaguar,-0.1567733798869467
persediaan,telur,0.24948564604761211
kesuburan,telur,0.2473931582313409
saham,langsung,0.21774007220331562
saham,kehidupan,-0.06303711983565874
buku,Perpustakaan,0.4161543805974799
Bank,uang,0.37885717273251557
kayu,hutan,0.4471198594048118
uang,tunai,0.653869174468858
Profesor,mentimun,-0.06578326949509058
Raja,kubis,-0.06314104291136009
Raja,Ratu,0.7264879377135172
Raja,benteng,0.4210530836704273
Uskup,rabbi,0.20944170483893487
Jerusalem,Israel,0.6569157423610337
Yerusalem,Palestina,0.6917392953854701
Kudus,seks,-0.13968808039669936
bercinta,seks,0.4046166910220267
Inter,sepakbola,0.42807664796124795
sepakbola,sepakbola,1.0000000000000002
sepakbola,basket,0.5694796150371039
sepakbola,tenis,0.4950299961278538
Tenis,Raket,0.6145296353268526
Arafat,perdamaian,0.4283577445020076
Arafat,teror,0.2378575960368845
Arafat,Jackson,0.13733590249663932
hukum,pengacara,0.5443729120808425
film,bintang,0.1778285993863998
film,drama,0.7265906830318043
film,kritikus,0.5861828212962951
film,theater,0.17361138833019746
Fisika,proton,0.3196026123993725
Fisika,Kimia,0.8082760563616576
Ruang,Kimia,0.2856409589281242
alkohol,Kimia,0.21947496761641974
vodka,gin,0.8968137770800959
vodka,brendi,0.8593188088822168
minuman,mobil,0.3285396386573335
minuman,telinga,0.06291954920715924
minuman,mulut,0.28666849545940976
minum,makan,0.7801562614378112
bayi,Ibu,0.3603172410157218
minuman,ibu,0.16439720677736977
Mobil,mobil,0.7764488221928544
permata,permata,0.9999999999999999
perjalanan,pelayaran,0.6907276898592074
