teks1,teks2,similarity
cinta,seks,0.33069754265128015
Harimau,kucing,0.12739127207831064
harimau,harimau,0.9999999999999997
buku,kertas,0.28701905316192494
komputer,monitor,0.5394020665666193
komputer,internet,0.5144724779042691
pesawat,mobil,0.4575734488609029
Kereta,mobil,0.2033262333647496
telepon,komunikasi,0.4137932318900624
televisi,radio,0.49484108770466223
media,radio,0.3712544899085939
obat,penyalahgunaan,0.29301998279194946
roti,mentega,0.5778606703838371
mentimun,kentang,0.6253770650429484
dokter,perawat,0.6683603751344365
Profesor,dokter,0.27155751182987686
mahasiswa,Profesor,0.17446325159915285
Pintar,mahasiswa,0.11815167501184062
Pintar,bodoh,0.17145821076390488
perusahaan,saham,0.5468895767251006
Persediaan,pasar,0.2284986279841309
persediaan,telepon,0.12162681869174798
persediaan,CD,0.023924698302165377
persediaan,jaguar,-0.10139698033480013
persediaan,telur,0.16897363346156122
kesuburan,telur,0.19212222195881218
saham,langsung,0.1308677567534256
saham,kehidupan,0.0033958823485063377
buku,Perpustakaan,0.23882997598449757
Bank,uang,0.15303525912727556
kayu,hutan,0.24504344754790386
uang,tunai,0.432471421129426
Profesor,mentimun,-0.031223616094780044
Raja,kubis,-0.08283028081746492
Raja,Ratu,0.5942265814996387
Raja,benteng,0.2933323617692523
Uskup,rabbi,0.11510060480490582
Jerusalem,Israel,0.5496539842068369
Yerusalem,Palestina,0.5459078059582134
Kudus,seks,-0.042647689652326015
bercinta,seks,0.3416387350430089
Inter,sepakbola,0.21025426390148758
sepakbola,sepakbola,0.9999999999999998
sepakbola,basket,0.368759667942948
sepakbola,tenis,0.3326269907845044
Tenis,Raket,0.43512508799298216
Arafat,perdamaian,0.3103149836449346
Arafat,teror,0.2195773026685594
Arafat,Jackson,0.08494511649415482
hukum,pengacara,0.4308837177467856
film,bintang,0.24327250011623686
film,drama,0.592602632822877
film,kritikus,0.42282873937540666
film,theater,0.1920193021178953
Fisika,proton,0.2294174530458516
Fisika,Kimia,0.6509405461256691
Ruang,Kimia,0.11796870557597926
alkohol,Kimia,0.11468535605173463
vodka,gin,0.7908365928955237
vodka,brendi,0.7165264117713821
minuman,mobil,0.21036836187945146
minuman,telinga,0.055481953190252786
minuman,mulut,0.19814876068320691
minum,makan,0.5921495606136855
bayi,Ibu,0.19684768426908333
minuman,ibu,0.032995027311439676
Mobil,mobil,0.6503781064927252
permata,permata,0.9999999999999997
perjalanan,pelayaran,0.5094177580384656
pria,ayah,0.2879238350271772
Pantai,pantai,0.5840648253953279
suaka,pengungsi,0.5727191672391714
penyihir,penyihir,1.0
petang,siang,0.6346566340335913
tungku,kompor,0.6765109613871354
makanan,buah,0.330247504073771
burung,ayam,0.36302574767063567
burung,bangau,0.6398934245712262
Alat,menerapkan,-0.021277123224354835
saudara,biarawan,0.15135536202955446
pasang,menerapkan,0.005727448049755064
Pemuda,saudara,-0.032061571219135554
perjalanan,mobil,0.2141931418906893
biarawan,peramal,0.31949322530831303
Pemakaman,berhutan,0.07364843921269736
Makanan,ayam,0.2524082354990037
Pantai,Bukit,0.34455816130721817
hutan,kuburan,0.2886961071076797
